;0
0;103727.13941651574
1;103729.13941651574
2;103731.13941651574
3;103733.13941651574
4;103735.13941651574
5;103737.13941651574
6;103739.13941651574
7;103741.13941651574
8;103743.13941651574
9;103745.13941651574
10;103747.13941651574
11;103749.13941651574
12;103751.13941651574
13;103753.13941651574
14;103755.13941651574
15;103757.13941651574
16;103759.13941651574
17;103761.13941651574
18;103763.13941651574
19;103765.13941651574
20;103767.13941651574
21;103769.13941651574
22;103771.13941651574
23;103773.13941651574
24;103775.13941651574
25;103777.13941651574
26;103779.13941651574
27;103781.13941651574
28;103783.13941651574
29;103785.13941651574
30;103787.13941651574
31;103789.13941651574
32;103791.13941651574
33;103793.13941651574
34;103795.13941651574
35;103797.13941651574
36;103799.13941651574
37;103801.13941651574
38;103803.13941651574
39;103805.13941651574
40;103807.13941651574
41;103809.13941651574
42;103811.13941651574
43;103813.13941651574
44;103815.13941651574
45;103817.13941651574
46;103819.13941651574
47;103821.13941651574
48;103823.13941651574
49;103825.13941651574
50;103827.13941651574
51;103829.13941651574
52;103831.13941651574
53;103833.13941651574
54;103835.13941651574
55;103837.13941651574
56;103839.13941651574
57;103841.13941651574
58;103843.13941651574
59;103845.13941651574
60;103847.13941651574
61;103849.13941651574
62;103851.13941651574
63;103853.13941651574
64;103855.13941651574
65;103857.13941651574
66;103859.13941651574
67;103861.13941651574
68;103863.13941651574
69;103865.13941651574
70;103867.13941651574
71;103869.13941651574
72;103871.13941651574
73;103873.13941651574
74;103875.13941651574
75;103877.13941651574
76;103879.13941651574
77;103881.13941651574
78;103883.13941651574
79;103885.13941651574
80;103887.13941651574
81;103889.13941651574
82;103891.13941651574
83;103893.13941651574
84;103895.13941651574
85;103897.13941651574
86;103899.13941651574
87;103901.13941651574
88;103903.13941651574
89;103905.13941651574
90;103907.13941651574
91;103909.13941651574
92;103911.13941651574
93;103913.13941651574
94;103915.13941651574
95;103917.13941651574
96;103919.13941651574
97;103921.13941651574
98;103923.13941651574
99;103925.13941651574
100;103927.13941651574
101;103929.13941651574
102;103931.13941651574
103;103933.13941651574
104;103935.13941651574
105;103937.13941651574
106;103939.13941651574
107;103941.13941651574
108;103943.13941651574
109;103945.13941651574
110;103947.13941651574
111;103949.13941651574
112;103951.13941651574
113;103953.13941651574
114;103955.13941651574
115;103957.13941651574
116;103959.13941651574
117;103961.13941651574
118;103963.13941651574
119;103965.13941651574
120;103967.13941651574
121;103969.13941651574
122;103971.13941651574
123;103973.13941651574
124;103975.13941651574
125;103977.13941651574
126;103979.13941651574
127;103981.13941651574
128;103983.13941651574
129;103985.13941651574
130;103987.13941651574
131;103989.13941651574
132;103991.13941651574
133;103993.13941651574
134;103995.13941651574
135;103997.13941651574
136;103999.13941651574
137;104001.13941651574
138;104003.13941651574
139;104005.13941651574
140;104007.13941651574
141;104009.13941651574
142;104011.13941651574
143;104013.13941651574
144;104015.13941651574
145;104017.13941651574
146;104019.13941651574
147;104021.13941651574
148;104023.13941651574
149;104025.13941651574
150;104027.13941651574
151;104029.13941651574
152;104031.13941651574
153;104033.13941651574
154;104035.13941651574
155;104037.13941651574
156;104039.13941651574
157;104041.13941651574
158;104043.13941651574
159;104045.13941651574
160;104047.13941651574
161;104049.13941651574
162;104051.13941651574
163;104053.13941651574
164;104055.13941651574
165;104057.13941651574
166;104059.13941651574
167;104061.13941651574
168;104063.13941651574
169;104065.13941651574
170;104067.13941651574
171;104069.13941651574
172;104071.13941651574
173;104073.13941651574
174;104075.13941651574
175;104077.13941651574
176;104079.13941651574
177;104081.13941651574
178;104083.13941651574
179;104085.13941651574
180;104087.13941651574
181;104089.13941651574
182;104091.13941651574
183;104093.13941651574
184;104095.13941651574
185;104097.13941651574
186;104099.13941651574
187;104101.13941651574
188;104103.13941651574
189;104105.13941651574
190;104107.13941651574
191;104109.13941651574
192;104111.13941651574
193;104113.13941651574
194;104115.13941651574
195;104117.13941651574
196;104119.13941651574
197;104121.13941651574
198;104123.13941651574
199;103714.41082090286
200;103716.41082090286
201;103718.41082090286
202;103720.41082090286
203;103722.41082090286
204;103724.41082090286
205;103726.41082090286
206;103728.41082090286
207;103730.41082090286
208;103732.41082090286
209;103734.41082090286
210;103736.41082090286
211;103738.41082090286
212;103740.41082090286
213;103742.41082090286
214;103744.41082090286
215;103746.41082090286
216;103748.41082090286
217;103750.41082090286
218;103752.41082090286
219;103754.41082090286
220;103756.41082090286
221;103758.41082090286
222;103760.41082090286
223;103762.41082090286
224;103764.41082090286
225;103766.41082090286
226;103768.41082090286
227;103770.41082090286
228;103772.41082090286
229;103774.41082090286
230;103776.41082090286
231;103778.41082090286
232;103780.41082090286
233;103782.41082090286
234;103784.41082090286
235;103786.41082090286
236;103788.41082090286
237;103790.41082090286
238;103792.41082090286
239;103794.41082090286
240;103796.41082090286
